McNeese State,-3.21,.355,.330,.523,53.9,44.6,10.8,9.0,.496,18.4,35.2,.231
Memphis,6.85,.384,.327,.558,53.6,59.3,11.9,17.9,.529,19.6,36.5,.262
Mercer,-0.78,.293,.434,.560,50.6,59.2,9.1,8.9,.524,16.7,25.1,.228
Merrimack,-6.17,.265,.409,.509,42.5,51.0,13.8,11.5,.484,16.3,21.6,.179
Miami (FL),6.08,.301,.364,.568,46.9,50.2,12.6,8.7,.536,12.7,21.8,.227
Miami (OH),-3.46,.240,.425,.545,49.1,49.3,8.2,9.4,.513,13.0,25.9,.189
Michigan State,9.35,.309,.338,.555,53.8,62.0,8.6,14.6,.519,17.4,31.0,.235
Michigan,10.40,.289,.330,.552,54.7,53.1,6.6,7.6,.522,15.2,31.4,.211
Middle Tennessee,-1.31,.325,.433,.562,51.2,47.4,11.8,12.1,.526,16.4,30.8,.246
Milwaukee,-5.70,.273,.352,.512,49.4,48.0,7.1,10.4,.479,17.3,24.1,.197
Minnesota,8.76,.243,.365,.536,45.4,50.8,8.1,7.3,.512,13.3,16.9,.173
Mississippi State,7.16,.375,.299,.543,54.4,52.0,11.9,10.8,.504,16.3,34.1,.272
Mississippi Valley State,-5.35,.304,.381,.472,42.4,48.7,10.0,6.1,.442,16.0,23.6,.196
Mississippi,7.15,.292,.379,.528,50.0,53.2,10.7,8.1,.497,16.3,26.7,.208
Kansas City,-5.12,.312,.346,.567,48.9,48.6,10.6,8.5,.545,13.8,20.6,.211
Missouri State,1.28,.275,.392,.590,52.2,44.4,7.9,9.2,.559,13.9,24.7,.217
Missouri,9.62,.293,.331,.506,50.2,49.7,9.9,11.2,.470,17.9,30.8,.213
Monmouth,-1.36,.371,.337,.520,51.2,48.1,9.1,10.3,.475,15.3,28.8,.273
Montana State,-6.13,.367,.386,.577,53.2,52.8,8.0,10.0,.542,16.2,26.7,.270
Montana,-5.95,.346,.364,.561,48.1,54.5,8.4,8.2,.516,13.6,19.2,.275
Morehead State,-3.19,.289,.414,.556,53.0,64.0,8.7,15.0,.536,17.8,30.8,.193
Morgan State,-6.35,.324,.330,.515,50.0,54.3,10.8,9.3,.484,17.5,28.3,.222
Mount St. Mary's,-6.15,.267,.306,.515,51.8,53.2,8.2,10.6,.489,17.4,31.2,.181
Murray State,-3.33,.307,.379,.572,55.7,52.5,11.8,9.3,.549,14.1,34.2,.214
Navy,-6.29,.287,.312,.507,54.1,49.9,10.8,10.1,.481,16.8,33.5,.188
Omaha,-1.48,.281,.349,.520,46.8,44.2,6.8,7.1,.487,17.0,23.0,.205
Nebraska,8.67,.330,.377,.529,44.9,50.4,9.6,7.5,.493,15.8,20.5,.237
Nevada-Las Vegas,4.75,.298,.426,.536,51.5,57.1,8.9,9.2,.503,14.7,27.7,.218
Nevada,6.06,.313,.366,.548,50.2,58.0,8.8,11.0,.513,16.3,23.2,.234
New Hampshire,-6.72,.249,.415,.539,53.0,48.0,6.9,8.8,.518,12.3,29.0,.169
New Mexico State,0.74,.348,.422,.560,55.5,52.0,7.0,12.3,.531,17.5,32.9,.242
New Mexico,4.93,.309,.383,.540,47.2,45.5,8.8,11.7,.505,14.7,23.4,.228
New Orleans,-6.31,.405,.230,.553,49.3,49.3,10.4,7.4,.512,17.2,25.5,.293
Niagara,-3.00,.277,.369,.539,48.5,49.9,8.2,7.4,.509,15.1,22.6,.203
Nicholls State,-5.95,.204,.370,.544,51.7,43.5,11.5,10.8,.533,14.5,32.1,.128
NJIT,-6.33,.320,.355,.496,48.9,44.2,9.1,10.5,.466,17.0,22.1,.212
Norfolk State,-9.19,.365,.355,.556,53.5,46.5,9.7,9.5,.524,17.0,28.5,.258
North Alabama,-2.84,.231,.414,.495,48.2,42.0,9.5,9.5,.462,14.6,26.0,.175
UNC Asheville,-4.94,.366,.409,.565,48.7,49.0,8.9,12.3,.529,16.0,27.4,.269
North Carolina A&T,-3.90,.276,.340,.501,49.7,49.1,11.5,9.2,.477,15.5,29.9,.179
North Carolina Central,-6.72,.349,.339,.540,52.4,49.6,13.0,7.1,.512,18.8,32.5,.236
UNC Greensboro,-1.49,.278,.389,.528,54.3,51.3,9.9,6.3,.496,17.6,32.2,.203
NC State,5.41,.283,.392,.516,49.0,44.2,10.4,10.0,.483,12.8,31.3,.204
UNC Wilmington,-3.55,.325,.379,.518,47.4,44.1,11.1,11.2,.481,13.4,28.0,.233
North Carolina,7.04,.300,.371,.560,55.0,52.8,7.6,10.1,.527,14.9,29.7,.228
North Dakota State,-3.72,.344,.377,.559,53.2,41.8,5.9,8.0,.519,15.2,25.7,.263
North Dakota,-4.54,.316,.444,.522,49.7,51.0,5.6,4.9,.483,15.1,26.8,.233
North Florida,1.30,.297,.499,.534,46.2,54.6,8.0,10.2,.502,18.5,26.9,.216
North Texas,1.63,.366,.417,.554,53.9,49.4,11.1,7.8,.529,16.1,31.8,.243
Northeastern,-0.87,.299,.406,.541,51.9,50.5,7.4,7.5,.508,19.1,26.8,.221
Northern Arizona,-3.24,.288,.418,.522,52.1,53.8,6.3,7.0,.497,17.4,27.9,.194
Northern Colorado,-2.96,.296,.473,.587,50.5,46.9,5.8,7.2,.566,15.7,22.0,.209
Northern Illinois,-2.91,.334,.338,.509,46.9,49.0,9.5,7.8,.478,17.8,24.0,.223
Northern Iowa,2.82,.323,.433,.579,51.0,45.3,8.1,5.0,.541,15.0,21.1,.253
Northern Kentucky,-5.77,.255,.445,.525,51.3,56.2,13.7,6.9,.498,16.4,33.8,.180
Northwestern State,-2.13,.242,.342,.527,48.6,54.5,8.5,8.6,.504,16.8,28.9,.166
Northwestern,7.26,.254,.384,.524,49.7,59.3,9.7,10.5,.496,11.9,24.9,.184
Notre Dame,6.40,.269,.437,.565,50.2,54.1,8.0,5.0,.535,14.0,21.9,.204
Oakland,-3.10,.332,.410,.550,49.6,53.5,12.7,7.1,.505,15.5,31.1,.264
Ohio State,9.19,.338,.393,.587,52.1,51.4,7.0,12.7,.554,14.9,28.8,.254
Ohio,-3.54,.305,.450,.547,49.5,50.1,11.2,7.6,.514,13.4,26.9,.223
Oklahoma State,10.44,.342,.314,.517,50.5,51.2,12.3,15.1,.487,18.0,32.0,.227
Oklahoma,9.72,.277,.412,.573,50.3,55.4,11.3,4.9,.544,19.9,24.3,.208
Old Dominion,0.18,.344,.264,.506,52.1,51.3,9.4,10.9,.473,15.4,31.4,.232
Oral Roberts,-4.02,.231,.465,.572,53.1,39.1,7.8,10.9,.549,12.2,27.6,.170
Oregon State,8.38,.272,.305,.514,45.9,47.4,9.2,8.6,.489,16.0,24.9,.184
Oregon,8.26,.293,.367,.543,50.3,45.0,10.0,8.1,.519,15.5,29.8,.199
Pacific,1.07,.319,.339,.498,48.7,48.2,9.4,8.1,.464,15.9,22.7,.218
Penn State,9.52,.221,.425,.534,53.2,50.9,7.8,6.4,.509,16.8,28.5,.161
Pennsylvania,-0.25,.250,.408,.543,48.6,48.1,8.0,5.7,.516,15.4,24.7,.183
Pepperdine,4.02,.241,.358,.510,47.7,56.9,8.0,5.8,.493,18.2,27.0,.175
Pittsburgh,6.27,.421,.337,.516,52.5,52.5,8.3,12.4,.472,18.7,31.1,.295
Portland State,-4.30,.304,.347,.521,47.9,45.2,12.7,9.3,.481,15.4,27.1,.230
Portland,-1.09,.363,.396,.553,50.9,56.7,7.0,7.1,.502,17.0,23.8,.292
Prairie View,-2.62,.394,.323,.533,48.6,48.1,12.1,7.7,.495,21.3,30.4,.275
Presbyterian,-3.21,.305,.364,.500,52.8,51.0,11.8,8.6,.468,16.5,33.4,.209
Princeton,-4.25,.217,.459,.585,52.3,53.2,9.0,4.8,.574,13.4,26.8,.143
