Name                          Rating      Wins      Losses    Stat        Games       SOS         
Tennessee State               -3.149600   4         7         -0.314600   -1.188640   -3.086817   
Idaho                         -3.191965   3         8         -0.547255   -1.367025   0.160321    
American                      -3.206730   4         7         -1.466273   -1.221956   -1.534838   
Southern Miss                 -3.223835   4         7         -1.328498   -1.148873   -0.619503   
Hampton                       -3.227973   4         7         -0.674774   -1.357073   -1.634553   
North Dakota                  -3.234789   4         9         -0.970221   -1.578105   -0.847058   
Albany (NY)                   -3.284940   3         8         -1.783061   -0.966844   -0.435413   
Southeast Missouri State      -3.353787   5         7         -1.018782   -1.415209   -1.289385   
Holy Cross                    -3.367530   2         9         -0.796028   -1.677738   -1.739382   
Northwestern State            -3.389509   2         9         -1.883727   -1.216961   2.103491    
Lehigh                        -3.419534   1         8         -1.080287   -1.452832   -0.854729   
Prairie View                  -3.463611   0         9         -3.400131   -0.308554   2.517693    
Denver                        -3.488319   4         9         -0.829011   -1.271195   -1.051603   
Alcorn State                  -3.497373   1         9         -2.184824   -0.419873   1.364575    
William & Mary                -3.505560   1         11        -1.047904   -1.756619   -0.992796   
Alabama State                 -3.506842   2         9         -1.381725   -1.074331   0.694693    
Robert Morris                 -3.541329   1         8         -1.443340   -1.357799   0.116856    
USC Upstate                   -3.562871   3         8         -1.451442   -1.155176   0.109185    
Bethune-Cookman               -3.584986   2         8         -1.945002   -0.744907   0.919692    
Northern Illinois             -3.614140   3         6         -1.902784   -0.740931   -0.714105   
Rider                         -3.655530   3         8         -1.606987   -1.074297   -0.974899   
South Carolina State          -3.702888   5         8         -1.007614   -1.107643   -0.455868   
Central Michigan              -3.732392   1         9         -2.578627   -0.938204   0.947816    
Idaho State                   -3.736340   2         8         -1.355836   -1.946363   -1.107852   
Florida A&M                   -3.874628   2         8         -2.103334   -1.310299   1.037305    
Columbia                      -3.943364   3         9         -1.229516   -1.576761   -2.327447   
Lamar                         -3.988294   2         10        -1.727583   -1.587223   0.012027    
Incarnate Word                -4.025323   2         9         -1.416704   -1.740094   0.566853    
Western Michigan              -4.170070   4         6         -1.917558   -1.735684   0.037595    
Central Connecticut           -4.214785   3         9         -2.090603   -0.856313   -0.870070   
Eastern Illinois              -4.252407   2         10        -1.498813   -1.861690   -0.885411   
Fairleigh Dickinson           -4.263661   0         10        -2.567157   -1.097999   0.467138    
Central Arkansas              -4.329762   1         9         -2.674011   -1.053169   0.582194    
Omaha                         -4.370783   1         10        -2.127479   -1.606430   0.720261    
Arkansas-Pine Bluff           -4.526820   2         11        -2.753065   -0.988524   1.827356    
Alabama A&M                   -4.660450   1         8         -2.695547   -0.904246   -0.105586   
Chicago State                 -4.692995   4         7         -1.280410   -1.314488   -1.440237   
Maine                         -4.754536   3         6         -1.694664   -1.999738   -1.281715   
Delaware State                -5.214302   2         9         -0.904937   -2.427656   -1.816086   
IUPUI                         -5.449732   1         9         -1.711929   -2.675273   -1.680576   
Mississippi Valley State      -6.816655   0         9         -3.248791   -1.821572   0.216571    
