Texas-Arlington,-0.911036,8,9,-0.312643,-0.53802,0.06151
Kennesaw State,-0.936318,11,15,0.207222,-0.731131,-0.392269
South Florida,-0.942565,7,17,-1.109626,-0.107631,0.999453
Howard,-0.958308,13,10,0.457499,-0.628401,-1.494302
Marshall,-0.971554,9,16,-0.230861,-0.937099,0.247883
Manhattan,-0.993118,13,11,-0.137651,-0.347329,-0.874408
Kansas City,-1.003132,16,10,-0.100272,-0.522719,-0.939234
Florida International,-1.035692,14,11,-0.230102,-0.461772,-0.740706
Loyola Marymount,-1.086103,9,14,-1.468999,0.042587,0.861699
Southeastern Louisiana,-1.121965,14,12,0.2158,-0.698961,-0.912898
Samford,-1.155514,16,9,-0.571387,-0.206763,-0.38214
Stony Brook,-1.162655,15,11,-0.521516,-0.349229,-0.870357
Northeastern,-1.172912,7,18,-0.387467,-0.79347,-0.108657
La Salle,-1.185153,7,16,-0.803883,-0.295876,0.126335
Quinnipiac,-1.20409,12,11,-0.239451,-0.474357,-1.064833
Marist,-1.204257,11,13,-0.602388,-0.155154,-0.933156
George Washington,-1.224081,10,14,-1.126228,-0.046599,0.158748
Ball State,-1.266783,11,14,-0.556604,-0.54975,-0.6617
Oregon State,-1.274815,3,20,-1.588067,-0.305434,1.501851
Pacific,-1.286582,7,18,-0.607188,-0.854336,0.168877
North Florida,-1.290991,9,18,-0.43718,-0.692258,0.334992
Army,-1.32649,13,14,-0.286256,-0.72479,-1.186381
Canisius,-1.401527,8,18,-0.486212,-0.656648,-0.426707
Eastern Kentucky,-1.41419,12,15,-0.208256,-0.859017,-0.939234
Miami (OH),-1.415639,11,14,-0.438924,-0.742686,-0.525971
Duquesne,-1.442719,6,18,-1.106134,-0.555365,0.377534
Dixie State,-1.444986,12,14,-0.178385,-0.896677,-0.07827
Texas A&M-Corpus Christi,-1.467741,16,9,0.204634,-0.89666,-1.680675
McNeese State,-1.485953,10,16,-0.028045,-1.118244,-0.5989
UC-Davis,-1.500869,10,7,-0.448192,-0.668883,-0.779196
Stetson,-1.506487,11,15,-0.065664,-1.115888,-0.602952
Lipscomb,-1.528021,11,17,-0.383355,-0.923232,-0.406449
Loyola (MD),-1.529022,13,13,-0.345815,-0.780052,-1.544947
Southern,-1.586754,15,10,-0.843091,-0.272047,-1.048627
Detroit,-1.613095,10,13,-0.78964,-0.474801,-0.902769
Dartmouth,-1.625209,5,15,-0.81973,-0.716931,-0.295031
UIC,-1.648922,10,14,-0.43442,-0.768988,-0.94126
Tennessee Tech,-1.713634,7,19,-0.518645,-0.821718,-0.205896
North Carolina Central,-1.731289,13,11,-0.325324,-0.774183,-1.145865
High Point,-1.731473,11,15,-0.418842,-0.913335,-0.369985
Binghamton,-1.806874,10,13,-0.311443,-0.833286,-1.382883
Pepperdine,-1.82618,7,21,-1.509746,-0.604525,0.802951
Air Force,-1.827635,10,14,-1.410388,-0.17653,0.264089
Presbyterian,-1.910258,11,17,-0.437779,-0.962971,-0.519894
San Jose State,-1.932573,7,18,-1.195516,-0.566656,0.865751
Portland State,-1.945174,8,15,-0.715295,-0.829807,-0.841996
North Alabama,-1.947118,9,17,-0.707675,-1.006694,-0.392269
Tarleton State,-1.956669,11,15,-1.305946,-0.557662,0.375508
NJIT,-1.971347,11,13,-0.59455,-0.807829,-1.160046
SIU-Edwardsville,-1.988403,9,17,-0.513225,-0.97993,-0.710319
Northern Arizona,-2.000787,9,16,-0.310803,-1.19305,-0.525971
Lafayette,-2.010062,9,16,-0.737214,-0.996479,-1.000008
Western Carolina,-2.022111,9,19,-1.042129,-0.851251,-0.228179
Hartford,-2.023592,8,16,-0.714807,-0.862104,-1.419348
Jackson State,-2.090919,8,16,-0.825027,-0.897514,-0.736654
Cal Poly,-2.112599,5,17,-0.554024,-1.07827,-0.576616
Eastern Michigan,-2.115679,9,16,-1.1493,-0.720231,-0.278824
Lehigh,-2.229449,10,17,-0.620173,-1.015226,-1.299826
USC Upstate,-2.234096,11,14,-0.966802,-0.719085,-0.619158
North Carolina A&T,-2.23459,11,16,-0.875015,-0.955681,-0.758938
Southeast Missouri State,-2.263516,11,15,-0.754835,-1.033374,-0.945311
Little Rock,-2.267223,8,14,-0.85206,-1.421615,0.008839
